numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.159,-0.022,1.023,13.382,3.510,69.092
2,0.180,0.002,1.022,8.362,1.419,40.558
3,0.170,-0.013,1.029,2.014,3.632,0.870
4,0.169,-0.015,1.028,2.213,3.220,1.373
5,0.171,-0.015,1.031,1.999,3.540,0.748
6,0.171,-0.016,1.031,1.877,3.021,0.900
7,0.175,-0.011,1.033,2.670,3.235,0.885
8,0.174,-0.012,1.026,1.770,2.777,1.038
9,0.169,-0.013,1.037,2.670,2.975,1.007
10,0.382,0.053,0.839,-61.203,14.114,-340.515
11,0.339,-0.295,1.086,71.014,1.953,73.807
12,0.361,-0.094,1.000,-94.025,-100.754,229.858
13,0.282,-0.184,0.806,-63.416,-58.029,35.873
14,0.154,-0.147,0.792,-58.121,-72.006,37.476
15,0.310,-0.264,0.966,20.233,-77.118,-45.807
16,0.445,-0.652,0.927,-394.501,120.224,-64.926
17,0.377,-0.677,0.953,-92.941,12.985,179.352
18,0.092,-0.620,0.722,-142.166,108.887,161.942
19,-0.135,-0.747,0.579,-103.287,181.137,139.374
20,-0.168,-0.883,0.333,-63.416,-12.466,-40.436
21,-0.119,-0.583,0.342,48.996,-75.241,-160.049
22,0.365,-1.272,0.682,95.139,-79.376,-216.049
23,0.359,-0.586,0.678,205.643,-95.123,-12.665
24,0.363,-0.664,0.645,160.004,-29.221,-29.419
25,0.466,-0.511,0.777,186.752,3.799,64.026
26,0.334,-0.322,0.924,246.506,23.514,95.108
27,0.341,-0.174,0.984,202.560,40.939,69.153
28,0.049,-0.039,1.076,50.934,84.900,-79.544
29,0.151,0.006,0.823,-82.840,23.102,-84.869
30,0.196,-0.026,1.032,1.633,0.015,-0.458
31,0.198,-0.009,1.025,1.938,4.364,0.641
32,0.200,-0.016,1.023,2.029,5.814,0.748
33,0.198,-0.010,1.024,1.587,5.112,0.870
34,0.195,-0.012,1.023,2.243,4.517,0.778
35,0.193,-0.013,1.026,2.121,4.791,1.297
36,0.191,-0.011,1.025,2.274,3.952,0.946
37,0.193,-0.008,1.026,2.411,3.647,1.068
38,0.207,1.096,0.882,-289.536,-13.229,64.529
39,0.103,-0.082,0.969,70.602,-127.869,-22.980
40,0.293,-0.106,0.977,-13.550,-55.328,162.689
41,0.141,-0.179,0.831,-161.224,45.166,-28.244
42,0.129,-0.160,0.693,294.281,-166.473,314.102
43,0.565,-0.335,1.457,115.067,43.152,-136.337
44,0.479,-0.200,0.920,96.283,12.604,-173.782
45,0.165,-0.187,1.041,-7.812,4.974,-30.945
46,0.170,-0.008,1.033,1.953,3.250,1.114
47,0.174,-0.010,1.035,1.953,3.082,0.961
48,0.172,-0.007,1.031,2.075,3.494,0.336
49,0.167,-0.009,1.027,1.938,3.296,1.160
50,0.173,-0.011,1.032,2.289,3.296,0.763
51,0.170,-0.009,1.030,1.892,3.204,1.175
52,0.175,-0.010,1.034,2.106,2.777,0.610
53,0.170,-0.005,1.029,2.289,3.296,1.099
54,0.173,-0.009,1.032,1.526,3.113,1.633
55,0.172,-0.011,1.029,2.167,3.189,1.083